year,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,crime_total_murders,crime_total_firearms,crime_handguns,crime_rifles,crime_shotguns,crime_firearms_type_unknown,crime_knives__cutting _instruments,crime_other_weapons,crime_hands_fists_feet_etc,Political
31-Dec-14,Colorado,54514,0,182498,156062,8756,11334,0,18,6,0,46,50,0,0,0,0,0,0,0,0,0,0,0,0,413284,149,91,60,3,2,26,25,20,13,Blue
31-Dec-08,Massachusetts,75251,0,24184,19407,0,962,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119859,164,89,59,2,0,28,49,23,3,Blue
31-Dec-11,Washington,101640,0,137157,116763,5362,5038,106,26,48,0,12969,15292,9,0,0,0,0,0,0,0,0,0,0,0,394410,161,79,58,1,3,17,29,36,17,Blue
31-Dec-06,Connecticut,41706,0,25726,26291,0,719,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97616,100,65,57,0,2,6,18,12,5,Blue
31-Dec-07,Colorado,3079,0,84766,112173,0,21715,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221737,150,85,56,0,2,27,23,25,17,Blue
31-Dec-09,Colorado,1,0,126647,132671,0,54322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313641,167,94,55,6,6,27,23,30,20,Blue
31-Dec-14,Washington,132184,0,167432,130056,13687,6636,49,38,54,8,15943,15983,45,0,0,0,0,0,0,0,0,0,0,0,482115,172,94,54,6,4,30,25,42,11,Blue
31-Dec-09,New Mexico,5871,0,40840,44715,418,3036,0,48,117,0,3815,7994,0,0,0,0,0,0,0,0,0,0,0,0,106854,144,78,54,2,3,19,24,29,13,Blue
31-Dec-11,Connecticut,93587,0,49793,41435,1145,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186068,128,94,54,1,1,38,18,10,6,Blue
31-Dec-10,Massachusetts,58474,0,33468,21903,1001,1038,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115904,209,118,52,0,1,65,50,31,10,Blue
31-Dec-11,Massachusetts,83795,0,42506,24802,1128,1237,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153487,183,122,52,0,1,69,30,22,9,Blue
31-Dec-19,District of Columbia,4376,0,1295,41,0,19,6,0,0,0,0,0,0,5,4,180,0,0,0,0,0,0,0,0,5926,166,136,52,0,0,84,18,2,10,Blue
31-Dec-19,New Mexico,10290,0,74072,48752,7062,4673,0,117,109,8,5292,5490,15,552,0,0,0,0,244,128,13,7,5,0,156829,146,96,51,1,3,41,21,24,5,Blue
31-Dec-09,Connecticut,114110,0,46464,40850,112,708,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202454,107,70,51,0,2,17,17,14,6,Blue
31-Dec-08,Colorado,1,0,117975,132372,0,35173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285521,151,86,50,3,2,31,31,17,17,Blue
31-Dec-12,Connecticut,117327,0,63570,53992,2521,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237496,146,112,50,27,1,34,17,14,3,Blue
31-Dec-06,New Mexico,2839,0,30287,42708,0,1752,0,28,45,0,3760,8902,0,0,0,0,0,0,0,0,0,0,0,0,90321,99,57,48,3,3,3,21,7,14,Blue
31-Dec-09,Massachusetts,44428,0,30166,22114,597,1532,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98864,169,93,47,2,1,43,40,29,7,Blue
31-Dec-13,Washington,152569,0,199142,159388,11676,6750,75,41,57,5,15105,16277,37,0,0,0,0,0,0,0,0,0,0,0,561122,155,86,47,0,7,32,29,27,13,Blue
31-Dec-13,Colorado,89282,0,213176,188017,8970,15130,12,16,11,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,514658,174,88,46,5,3,34,34,39,13,Blue
31-Dec-08,Connecticut,73454,0,37234,37053,0,855,7289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155885,112,71,46,1,0,24,27,11,3,Blue
31-Dec-13,New Mexico,11997,0,63923,61320,2861,3532,0,45,76,0,5095,7479,5,0,0,0,0,0,0,0,0,0,0,0,156333,106,59,46,5,2,6,19,20,8,Blue
31-Dec-11,New Mexico,6413,0,46708,45187,1240,2520,2,42,70,0,5155,8275,8,0,0,0,0,0,0,0,0,0,0,0,115620,121,60,45,2,2,11,21,32,8,Blue
31-Dec-12,New Mexico,8025,0,58155,57555,2255,3329,1,42,59,1,5373,8612,12,0,0,0,0,0,0,0,0,0,0,0,143419,109,67,42,5,5,15,14,21,7,Blue
