group,variable ,value
returned_other,private_sale_long_gun,0.242825256
returned_other,private_sale_other,0.261933295
returned_other,return_to_seller_handgun,0.260528349
returned_other,return_to_seller_long_gun,0.253207827
returned_other,return_to_seller_other,0.112884937
returned_other,totals,0.033087237
returned_other,crime_total_murders,-0.045046737
returned_other,crime_total_firearms,-0.040872967
returned_other,crime_handguns,-0.05268066
returned_other,crime_rifles,-0.038109842
returned_other,crime_shotguns,-0.061231879
returned_other,crime_firearms_type_unknown,0.009090682
returned_other,crime_knives__cutting _instruments,-0.054663322
returned_other,crime_other_weapons,-0.046813319
returned_other,crime_hands_fists_feet_etc,-0.04957726
rentals_handgun,year,0.120814244
rentals_handgun,permit,0.020439632
rentals_handgun,permit_recheck,-0.004640298
rentals_handgun,handgun,-0.028201801
rentals_handgun,long_gun,0.052725488
rentals_handgun,other,0.073674721
rentals_handgun,multiple,-0.009684138
rentals_handgun,admin,-0.007353448
rentals_handgun,prepawn_handgun,0.052951711
rentals_handgun,prepawn_long_gun,0.043107267
rentals_handgun,prepawn_other,0.148611241
rentals_handgun,redemption_handgun,0.094010589
rentals_handgun,redemption_long_gun,0.067765935
rentals_handgun,redemption_other,0.144583453
rentals_handgun,returned_handgun,0.108629218
rentals_handgun,returned_long_gun,0.173618095
rentals_handgun,returned_other,0.091048784
rentals_handgun,rentals_handgun,1
rentals_handgun,rentals_long_gun,0.933698753
rentals_handgun,private_sale_handgun,0.167015906
rentals_handgun,private_sale_long_gun,0.189304794
rentals_handgun,private_sale_other,0.12623432
rentals_handgun,return_to_seller_handgun,0.115745405
rentals_handgun,return_to_seller_long_gun,0.157796902
rentals_handgun,return_to_seller_other,0.218913085
rentals_handgun,totals,0.022270644
rentals_handgun,crime_total_murders,0.067918814
rentals_handgun,crime_total_firearms,0.061358562
rentals_handgun,crime_handguns,0.056886864
rentals_handgun,crime_rifles,0.063212246
rentals_handgun,crime_shotguns,0.057760592
rentals_handgun,crime_firearms_type_unknown,0.050742686
rentals_handgun,crime_knives__cutting _instruments,0.076402751
rentals_handgun,crime_other_weapons,0.069743791
rentals_handgun,crime_hands_fists_feet_etc,0.094411806
rentals_long_gun,year,0.128943325
rentals_long_gun,permit,0.009378625
rentals_long_gun,permit_recheck,-0.003306253
rentals_long_gun,handgun,-0.023278407
rentals_long_gun,long_gun,0.05340326
rentals_long_gun,other,0.081879376
rentals_long_gun,multiple,-0.01676688
rentals_long_gun,admin,-0.00848734
rentals_long_gun,prepawn_handgun,0.026125161
rentals_long_gun,prepawn_long_gun,0.018719167
rentals_long_gun,prepawn_other,0.144638892
rentals_long_gun,redemption_handgun,0.051250735
rentals_long_gun,redemption_long_gun,0.027567854
rentals_long_gun,redemption_other,0.127971677
rentals_long_gun,returned_handgun,0.094244728
rentals_long_gun,returned_long_gun,0.208651871
rentals_long_gun,returned_other,0.079117576
rentals_long_gun,rentals_handgun,0.933698753
rentals_long_gun,rentals_long_gun,1
rentals_long_gun,private_sale_handgun,0.27783457
rentals_long_gun,private_sale_long_gun,0.293790771
rentals_long_gun,private_sale_other,0.193593587
rentals_long_gun,return_to_seller_handgun,0.187168884
rentals_long_gun,return_to_seller_long_gun,0.234986121
rentals_long_gun,return_to_seller_other,0.291623812
rentals_long_gun,totals,0.014765144
rentals_long_gun,crime_total_murders,0.072057632
rentals_long_gun,crime_total_firearms,0.057818495
rentals_long_gun,crime_handguns,0.059435479
rentals_long_gun,crime_rifles,0.042654093
rentals_long_gun,crime_shotguns,0.04366697
rentals_long_gun,crime_firearms_type_unknown,0.036089666
rentals_long_gun,crime_knives__cutting _instruments,0.106501084
rentals_long_gun,crime_other_weapons,0.083649877
rentals_long_gun,crime_hands_fists_feet_etc,0.110665988
private_sale_handgun,year,0.211981898
private_sale_handgun,permit,0.021304672
private_sale_handgun,permit_recheck,-0.001168232
private_sale_handgun,handgun,0.135309791
private_sale_handgun,long_gun,0.078447873
private_sale_handgun,other,0.267415187
private_sale_handgun,multiple,0.072828517
private_sale_handgun,admin,-0.001776972
private_sale_handgun,prepawn_handgun,0.096429436
private_sale_handgun,prepawn_long_gun,0.091401808
private_sale_handgun,prepawn_other,0.297284186
private_sale_handgun,redemption_handgun,0.113102885
private_sale_handgun,redemption_long_gun,0.038440073
private_sale_handgun,redemption_other,0.275296923
private_sale_handgun,returned_handgun,0.483189405
private_sale_handgun,returned_long_gun,0.562155257
private_sale_handgun,returned_other,0.243928866
private_sale_handgun,rentals_handgun,0.167015906
private_sale_handgun,rentals_long_gun,0.27783457
private_sale_handgun,private_sale_handgun,1
private_sale_handgun,private_sale_long_gun,0.99463932
private_sale_handgun,private_sale_other,0.876758736
